Time,Count,Temperature (C),Pressure (bar),Average Pressure Voltage (mV),Analog Pressure Reading (mV)
Fri Aug 22 18:13:58 2025,1,26,160,26.7487,26.7487
Fri Aug 22 18:13:58 2025,2,26,170,28.2589,29.7692
Fri Aug 22 18:13:58 2025,3,26,165,27.4199,25.7419
Fri Aug 22 18:13:58 2025,4,26,167,27.8394,29.0979
Fri Aug 22 18:13:59 2025,5,26,166,27.6213,26.7487
Fri Aug 22 18:13:59 2025,6,26,169,28.0911,30.4404
Fri Aug 22 18:13:59 2025,7,26,166,27.5637,24.3995
Fri Aug 22 18:13:59 2025,8,26,168,27.8814,30.1048
Fri Aug 22 18:13:59 2025,9,26,166,27.6064,25.4063
Fri Aug 22 18:13:59 2025,10,26,168,27.9569,31.1116
Fri Aug 22 18:13:59 2025,11,26,167,27.7555,25.7419
Fri Aug 22 18:13:59 2025,12,26,168,27.9233,29.7692
Fri Aug 22 18:14:00 2025,13,26,167,27.8072,26.4131
Fri Aug 22 18:14:00 2025,14,26,167,27.7795,27.4199
Fri Aug 22 18:14:00 2025,15,26,166,27.5765,24.7351
Fri Aug 22 18:14:00 2025,16,26,167,27.7136,29.7692
Fri Aug 22 18:14:00 2025,17,26,166,27.6371,26.4131
Fri Aug 22 18:14:00 2025,18,26,167,27.8301,31.1116
Fri Aug 22 18:14:00 2025,19,26,166,27.6849,25.0707
Fri Aug 22 18:14:00 2025,20,26,167,27.7723,29.4335
Fri Aug 22 18:14:01 2025,21,26,166,27.6756,25.7419
Fri Aug 22 18:14:01 2025,22,26,166,27.5877,25.7419
Fri Aug 22 18:14:01 2025,23,26,167,27.6972,30.1048
Fri Aug 22 18:14:01 2025,24,26,167,27.6996,27.7555
Fri Aug 22 18:14:01 2025,25,26,167,27.7152,28.0911
Fri Aug 22 18:14:01 2025,26,26,167,27.7555,28.7623
Fri Aug 22 18:14:01 2025,27,26,167,27.7182,26.7487
Fri Aug 22 18:14:01 2025,28,26,167,27.8035,30.1048
Fri Aug 22 18:14:02 2025,29,26,167,27.8134,28.0911
Fri Aug 22 18:14:02 2025,30,26,167,27.7891,27.0843
Fri Aug 22 18:14:02 2025,31,26,167,27.7339,26.0775
Fri Aug 22 18:14:02 2025,32,26,167,27.787,29.4335
Fri Aug 22 18:14:02 2025,33,26,167,27.7555,26.7487
Fri Aug 22 18:14:02 2025,34,26,167,27.8246,30.1048
Fri Aug 22 18:14:02 2025,35,26,167,27.8322,28.0911
Fri Aug 22 18:14:02 2025,36,26,167,27.8301,27.7555
Fri Aug 22 18:14:03 2025,37,26,167,27.8462,28.4267
Fri Aug 22 18:14:03 2025,38,26,167,27.8173,26.7487
Fri Aug 22 18:14:03 2025,39,26,167,27.8072,27.4199
Fri Aug 22 18:14:03 2025,40,26,167,27.7723,26.4131
Fri Aug 22 18:14:03 2025,41,26,167,27.8374,30.4404
Fri Aug 22 18:14:03 2025,42,26,167,27.8194,27.0843
Fri Aug 22 18:14:03 2025,43,26,168,27.8648,29.7692
Fri Aug 22 18:14:03 2025,44,26,168,27.8623,27.7555
Fri Aug 22 18:14:04 2025,45,26,168,27.8674,28.0911
Fri Aug 22 18:14:04 2025,46,26,168,27.8723,28.0911
Fri Aug 22 18:14:04 2025,47,26,168,27.9126,29.7692
Fri Aug 22 18:14:04 2025,48,26,168,27.8954,27.0843
Fri Aug 22 18:14:04 2025,49,26,168,27.9267,29.4335
Fri Aug 22 18:14:04 2025,50,26,168,27.8965,26.4131
Fri Aug 22 18:14:04 2025,51,26,168,27.9069,28.4267
Fri Aug 22 18:14:04 2025,52,26,168,27.8911,27.0843
Fri Aug 22 18:14:05 2025,53,26,168,27.9012,28.4267
Fri Aug 22 18:14:05 2025,54,26,168,27.8612,25.7419
Fri Aug 22 18:14:05 2025,55,26,168,27.9081,30.4404
Fri Aug 22 18:14:05 2025,56,26,168,27.8754,26.0775
Fri Aug 22 18:14:05 2025,57,26,168,27.9439,31.7828
Fri Aug 22 18:14:05 2025,58,26,168,27.9233,26.7487
Fri Aug 22 18:14:05 2025,59,26,168,27.9603,30.1048
Fri Aug 22 18:14:05 2025,60,26,168,27.9065,24.7351
Fri Aug 22 18:14:06 2025,61,26,168,27.9701,31.7828
Fri Aug 22 18:14:06 2025,62,26,168,27.9071,24.0639
Fri Aug 22 18:14:06 2025,63,26,168,27.91,28.0911
Fri Aug 22 18:14:06 2025,64,26,168,27.8709,25.4063
Fri Aug 22 18:14:06 2025,65,26,168,27.9156,30.776
Fri Aug 22 18:14:06 2025,66,26,168,27.8674,24.7351
Fri Aug 22 18:14:06 2025,67,26,168,27.9258,31.7828
Fri Aug 22 18:14:06 2025,68,26,168,27.8838,25.0707
Fri Aug 22 18:14:07 2025,69,26,168,27.9306,31.1116
Fri Aug 22 18:14:07 2025,70,26,168,27.8802,24.3995
Fri Aug 22 18:14:07 2025,71,26,168,27.9304,31.4472
Fri Aug 22 18:14:07 2025,72,26,168,27.886,24.7351
Fri Aug 22 18:14:07 2025,73,26,168,27.9302,31.1116
Fri Aug 22 18:14:07 2025,74,26,168,27.9052,26.0775
Fri Aug 22 18:14:07 2025,75,26,168,27.9703,32.7896
Fri Aug 22 18:14:07 2025,76,26,168,27.9233,24.3995
Fri Aug 22 18:14:08 2025,77,26,168,27.956,30.4404
Fri Aug 22 18:14:08 2025,78,26,168,27.9405,26.7487
Fri Aug 22 18:14:08 2025,79,26,168,27.9764,30.776
