Time,Count,Temperature (C),Pressure (bar),Average Pressure Voltage (mV),Analog Pressure Reading (mV)
Wed Aug 20 18:54:55 2025,0,415,205,33.8181,45.8782
Wed Aug 20 18:54:56 2025,1,415,207,34.0308,47.2207
Wed Aug 20 18:54:56 2025,2,415,208,34.2107,45.5426
Wed Aug 20 18:54:56 2025,3,415,209,34.4418,49.2343
Wed Aug 20 18:54:56 2025,4,415,210,34.5897,44.2002
Wed Aug 20 18:54:56 2025,5,415,211,34.7932,48.2275
Wed Aug 20 18:54:56 2025,6,415,212,34.897,41.851
Wed Aug 20 18:54:56 2025,7,415,213,35.0464,45.207
Wed Aug 20 18:54:56 2025,8,415,214,35.1676,43.529
Wed Aug 20 18:54:57 2025,9,415,215,35.3185,45.8782
Wed Aug 20 18:54:57 2025,10,415,216,35.4884,47.5563
Wed Aug 20 18:54:57 2025,11,415,217,35.6308,45.8782
Wed Aug 20 18:54:57 2025,12,415,218,35.8101,48.8987
Wed Aug 20 18:54:57 2025,13,415,219,35.9354,45.207
Wed Aug 20 18:54:57 2025,14,415,219,36.0573,45.207
Wed Aug 20 18:54:57 2025,15,415,221,36.2285,49.2343
Wed Aug 20 18:54:58 2025,16,415,221,36.3178,43.1934
Wed Aug 20 18:54:58 2025,17,415,222,36.4898,49.9055
Wed Aug 20 18:54:58 2025,18,415,223,36.5945,44.8714
Wed Aug 20 18:54:58 2025,19,415,224,36.7216,46.8851
Wed Aug 20 18:54:58 2025,20,415,224,36.8251,45.207
Wed Aug 20 18:54:58 2025,21,415,225,36.9544,47.5563
Wed Aug 20 18:54:58 2025,22,415,226,37.0726,46.8851
Wed Aug 20 18:54:58 2025,23,415,227,37.1801,46.2138
Wed Aug 20 18:54:59 2025,24,415,227,37.2969,47.2207
Wed Aug 20 18:54:59 2025,25,415,228,37.3646,43.1934
Wed Aug 20 18:54:59 2025,26,415,228,37.4843,47.8919
Wed Aug 20 18:54:59 2025,27,415,229,37.556,43.8646
Wed Aug 20 18:54:59 2025,28,415,230,37.6559,46.5494
Wed Aug 20 18:54:59 2025,29,415,230,37.7241,43.8646
Wed Aug 20 18:54:59 2025,30,415,231,37.8164,46.2138
Wed Aug 20 18:55:00 2025,31,415,231,37.8995,45.5426
Wed Aug 20 18:55:00 2025,32,415,232,38.0093,48.2275
Wed Aug 20 18:55:00 2025,33,415,232,38.071,43.8646
Wed Aug 20 18:55:00 2025,34,415,233,38.1698,47.5563
Wed Aug 20 18:55:00 2025,35,415,233,38.2181,42.8578
Wed Aug 20 18:55:00 2025,36,415,234,38.3134,47.5563
Wed Aug 20 18:55:00 2025,37,415,234,38.3966,46.5494
Wed Aug 20 18:55:00 2025,38,415,235,38.4983,48.5631
Wed Aug 20 18:55:01 2025,39,415,235,38.5547,44.2002
Wed Aug 20 18:55:01 2025,40,415,236,38.6397,47.2207
Wed Aug 20 18:55:01 2025,41,415,236,38.6871,43.529
Wed Aug 20 18:55:01 2025,42,415,237,38.7757,47.8919
Wed Aug 20 18:55:01 2025,43,415,237,38.8273,44.2002
Wed Aug 20 18:55:01 2025,44,415,238,38.9287,49.5699
Wed Aug 20 18:55:01 2025,45,415,238,38.9215,38.1593
Wed Aug 20 18:55:01 2025,46,415,238,39.0045,47.8919
Wed Aug 20 18:55:02 2025,47,415,238,39.0122,39.8373
Wed Aug 20 18:55:02 2025,48,415,239,39.102,48.8987
Wed Aug 20 18:55:02 2025,49,415,239,39.1268,41.851
Wed Aug 20 18:55:02 2025,50,415,239,39.2111,48.5631
Wed Aug 20 18:55:02 2025,51,415,240,39.2374,42.1866
Wed Aug 20 18:55:02 2025,52,415,240,39.3251,49.2343
Wed Aug 20 18:55:02 2025,53,415,240,39.3616,43.529
Wed Aug 20 18:55:02 2025,54,415,241,39.4381,48.2275
Wed Aug 20 18:55:03 2025,55,415,241,39.453,41.1798
Wed Aug 20 18:55:03 2025,56,415,242,39.5501,50.9123
Wed Aug 20 18:55:03 2025,57,415,242,39.5666,41.5154
Wed Aug 20 18:55:03 2025,58,415,242,39.6583,50.5767
Wed Aug 20 18:55:03 2025,59,415,243,39.7375,49.2343
Wed Aug 20 18:55:03 2025,60,415,243,39.8126,48.8987
Wed Aug 20 18:55:03 2025,61,415,243,39.8373,42.8578
Wed Aug 20 18:55:03 2025,62,415,244,39.9104,48.8987
Wed Aug 20 18:55:04 2025,63,415,244,39.9286,42.1866
Wed Aug 20 18:55:04 2025,64,415,244,40.0025,49.2343
Wed Aug 20 18:55:04 2025,65,415,245,40.025,42.8578
Wed Aug 20 18:55:04 2025,66,415,245,40.0235,39.8373
Wed Aug 20 18:55:04 2025,67,415,245,40.0246,40.1729
Wed Aug 20 18:55:04 2025,68,415,245,40.1084,50.9123
Wed Aug 20 18:55:04 2025,69,415,245,40.1191,41.5154
Wed Aug 20 18:55:04 2025,70,415,246,40.1882,49.2343
Wed Aug 20 18:55:05 2025,71,415,246,40.2057,42.5222
Wed Aug 20 18:55:05 2025,72,415,246,40.2957,52.2547
Wed Aug 20 18:55:05 2025,73,415,246,40.2997,40.8441
Wed Aug 20 18:55:05 2025,74,415,247,40.3703,49.9055
Wed Aug 20 18:55:05 2025,75,415,247,40.3885,42.8578
Wed Aug 20 18:55:05 2025,76,415,247,40.4745,52.2547
Wed Aug 20 18:55:05 2025,77,415,248,40.4989,43.8646
Wed Aug 20 18:55:05 2025,78,415,248,40.5637,49.5699
Wed Aug 20 18:55:06 2025,79,415,248,40.5799,42.8578
Wed Aug 20 18:55:06 2025,80,415,248,40.6385,48.8987
Wed Aug 20 18:55:06 2025,81,415,249,40.6564,43.1934
Wed Aug 20 18:55:06 2025,82,415,249,40.7183,49.5699
Wed Aug 20 18:55:06 2025,83,415,249,40.7446,44.5358
Wed Aug 20 18:55:06 2025,84,415,249,40.7936,47.8919
Wed Aug 20 18:55:06 2025,85,415,249,40.8008,41.851
Wed Aug 20 18:55:06 2025,86,415,250,40.8714,51.2479
Wed Aug 20 18:55:07 2025,87,415,250,40.8689,40.5085
Wed Aug 20 18:55:07 2025,88,415,250,40.9627,54.9396
Wed Aug 20 18:55:07 2025,89,415,250,40.9619,40.8441
Wed Aug 20 18:55:07 2025,90,415,251,41.0164,49.2343
